CellID,DNA_1,AF488,AF555,AF647,DNA_2,A488_background,A555_background,A647_background,DNA_3,FDX1,CD357,CD1D,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation
4077,46732.63803680982,1400.6073619631902,393.6871165644172,609.8834355828221,47299.73619631902,587.9447852760736,263.5460122699387,298.4846625766871,26119.0490797546,2815.134969325153,1302.6319018404909,1012.2638036809816,1542.361963190184,1725.3926380368098,163,18.540597820506715,11.27252517680653,0.793943563506007,0.9421965317919075,0.7546296296296297,-0.2500038479433058
4078,27862.859375,790.6953125,282.5703125,372.125,29872.859375,452.71875,178.671875,286.109375,17329.6171875,1959.375,713.8828125,782.9765625,147.9453125,1724.4921875,128,14.479800475832308,11.88114262413706,0.5716002967345488,0.9411764705882353,0.5688888888888889,1.0779049140747379
4079,25326.655526992286,855.5578406169666,288.38817480719797,486.98971722365036,26052.67609254499,424.96915167095113,184.93830334190233,293.37789203084833,14677.845758354755,1670.4190231362468,1107.0642673521852,895.4627249357327,557.6632390745501,1728.6915167095115,389,26.856499400068408,18.49443912341218,0.7251041359904222,0.9604938271604938,0.7367424242424242,-0.9969651857873373
4080,38260.342281879195,944.0738255033557,342.3489932885906,495.0738255033557,38230.36912751678,506.8859060402685,228.0268456375839,297.5704697986577,22142.85234899329,2208.8993288590605,1367.8993288590605,1216.03355704698,885.3355704697987,1724.503355704698,149,17.24667659494389,11.606462732364255,0.7396715293089794,0.8869047619047619,0.6651785714285714,1.2202116293839695
4081,62880.35294117647,921.1764705882352,342.05882352941177,421.3058823529412,63205.2705882353,537.0235294117647,231.49411764705883,301.2705882352941,36865.388235294115,1782.5294117647059,969.564705882353,955.9294117647058,1273.0117647058823,1724.2117647058824,85,14.61316095576954,7.523721946794399,0.8572746889430382,0.9340659340659341,0.7264957264957265,0.36145793410708216
4082,52704.80327868852,874.8688524590164,330.5409836065574,408.2295081967213,52673.67213114754,508.44262295081967,240.55737704918033,302.7704918032787,36510.70491803279,1671.8688524590164,1095.2295081967213,887.688524590164,987.4426229508197,1722.967213114754,61,9.801791202139201,8.549907436875705,0.4890065667832962,0.8840579710144928,0.7625,-1.2792347897106424
4083,25292.346835443037,747.2582278481012,287.4886075949367,384.11898734177214,25126.977215189872,421.89620253164554,196.92911392405063,291.34177215189874,14500.632911392406,1594.73417721519,873.7291139240506,874.4405063291139,1153.5493670886076,1731.860759493671,395,23.435672512832085,21.890401405086315,0.3571075013678963,0.8856502242152466,0.6857638888888888,-1.497208443296673
4084,48350.09375,2091.75,945.015625,651.328125,49549.6875,1349.3125,703.421875,425.171875,31485.140625,2142.8125,2126.0625,1226.390625,2026.875,1725.703125,64,13.322497185701058,6.410999336061998,0.876602032299203,0.8767123287671232,0.7032967032967034,0.11018255368861431
4085,19208.666666666668,1120.0444444444445,424.1777777777778,763.2,19400.244444444445,475.0,207.9777777777778,299.8888888888889,11267.2,1926.2666666666667,1196.4222222222222,1393.8444444444444,2342.3777777777777,1722.5333333333333,45,9.163617924491072,6.575559525786059,0.6964838953312914,0.9183673469387755,0.5555555555555556,0.7301980764988704
4086,31664.02857142857,926.7485714285714,332.4971428571429,439.8457142857143,32865.36571428571,505.2914285714286,219.96,295.45142857142855,18861.497142857144,2367.1314285714284,900.8628571428571,940.3542857142858,99.03428571428572,1733.8457142857144,175,26.696883849161303,8.537455583862862,0.9474876991731647,0.8413461538461539,0.4985754985754986,-0.3276018248996589
4087,28353.120879120877,955.1318681318681,299.1978021978022,533.0769230769231,28880.76923076923,446.7032967032967,184.8131868131868,291.16483516483515,16421.08791208791,3771.252747252747,1148.8131868131868,1239.9450549450548,335.13186813186815,1725.901098901099,91,12.958525538861544,9.104648977657545,0.711585862683693,0.9191919191919192,0.7,0.31687405695901705
4088,19455.396551724138,1033.8189655172414,331.0258620689655,619.4224137931035,20055.387931034482,470.4741379310345,211.81896551724137,294.2155172413793,11480.991379310344,3289.5258620689656,1458.1206896551723,1133.9655172413793,850.448275862069,1724.9913793103449,116,13.797566501525198,10.81173012148465,0.6212696056616878,0.943089430894309,0.7532467532467533,-1.4367612548903295
4089,29216.340425531915,849.2978723404256,359.8723404255319,417.6808510638298,30583.106382978724,540.2553191489362,254.31914893617022,301.3404255319149,18136.31914893617,2313.5106382978724,975.3404255319149,945.5957446808511,1344.2340425531916,1722.6808510638298,47,9.34031588026053,6.7127415064668865,0.6953361746910149,0.9038461538461539,0.6714285714285714,-1.3936820589258387
4090,49100.97727272727,1171.4204545454545,483.57954545454544,498.1931818181818,49017.89772727273,674.0227272727273,301.15909090909093,308.42045454545456,32269.715909090908,2226.068181818182,1121.659090909091,1037.8068181818182,1376.784090909091,1726.284090909091,88,13.789228939465556,9.035383610591353,0.7554126420488975,0.8380952380952381,0.6111111111111112,-0.9202426926977757
4091,39481.041666666664,805.3833333333333,288.89166666666665,363.10833333333335,41370.88333333333,473.2416666666667,192.03333333333333,294.8833333333333,24019.791666666668,2054.3333333333335,765.2166666666667,839.075,119.45,1727.0916666666667,120,13.075929814920062,11.703800594856931,0.44593669848516876,0.9448818897637795,0.7692307692307693,0.13110110593803426
4092,41559.45631067961,882.495145631068,334.8543689320388,458.63106796116506,42690.09708737864,524.3495145631068,237.32038834951456,306.6407766990291,30312.155339805824,1569.4757281553398,1272.495145631068,892.5533980582525,953.0582524271845,1725.8640776699028,103,13.976386408171084,9.799943199214265,0.7129856635346047,0.8728813559322034,0.6602564102564102,-1.111076316670798
4093,42208.469767441864,1341.9395348837209,383.7348837209302,668.4325581395349,43077.12558139535,583.7953488372093,255.13023255813954,297.31627906976746,24879.80465116279,2696.2232558139535,1200.2558139534883,1072.7674418604652,1562.5720930232558,1727.6930232558138,215,22.09069282920063,12.60458220638041,0.8212396758304275,0.9347826086956522,0.671875,-1.0515946351863703
4094,35793.2868852459,1141.5655737704917,418.5081967213115,569.0573770491803,36744.95901639344,581.3032786885246,268.92622950819674,308.7049180327869,20699.245901639344,3975.655737704918,1283.6311475409836,1181.6147540983607,2324.565573770492,1727.1639344262296,122,13.46848640339037,11.754431382440636,0.4881926642444435,0.9242424242424242,0.7218934911242604,0.4019564688964704
4095,16571.08620689655,711.0172413793103,249.17241379310346,357.44827586206895,17864.48275862069,381.51724137931035,167.81034482758622,282.2413793103448,9868.137931034482,1035.603448275862,652.7241379310345,736.448275862069,283.37931034482756,1728.0,58,13.28324735143416,6.476339519353478,0.8730911887311763,0.7945205479452054,0.5370370370370371,-0.363426889759945
4096,21555.218543046358,752.9801324503311,277.0331125827815,363.9933774834437,23237.417218543047,412.1456953642384,160.8476821192053,287.34437086092714,13054.423841059603,1570.3046357615895,693.2781456953643,767.9205298013245,33.66225165562914,1729.6291390728477,151,15.25148610929335,12.806332211246884,0.5430850969324039,0.949685534591195,0.7704081632653061,-0.8384292950335483
